,Unnamed: 0,student_id,semester,year,grade,term_number
363,16781,2470,spring,,F,0
364,16782,60,spring,,F,0
365,16783,9234,spring,,F,0
366,16784,10412,spring,,F,0
367,16785,10062,spring,,F,0
368,16786,9548,spring,,C,0
369,16787,7958,spring,,D,0
370,16788,9039,spring,,C+,0
371,16789,9475,spring,,C,0
372,16790,10569,spring,,D,0
373,16791,488,spring,,C-,0
374,16792,9410,spring,,C,0
375,16793,7699,spring,,C,0
376,16794,9304,spring,,B-,0
377,16795,1199,spring,,B-,0
378,16796,7005,spring,,B-,0
379,16797,2208,spring,,C-,0
380,17438,8177,spring,,B,0
381,17439,7970,spring,,B,0
382,17440,7841,spring,,C,0
383,17441,9076,spring,,C,0
384,17442,3014,spring,,A-,0
385,17443,9866,spring,,C-,0
386,17444,9043,spring,,D,0
387,17445,192,spring,,A-,0
388,17710,8227,spring,,B,0
389,17711,1452,spring,,C+,0
390,17712,10401,spring,,C,0
391,17713,6302,spring,,D,0
392,17714,7787,spring,,F,0
393,17715,4537,spring,,F,0
394,17716,2754,spring,,C-,0
395,17717,3675,spring,,B+,0
396,17992,8884,summer,880.0,C,0
397,17993,3313,summer,880.0,B-,0
398,17994,7128,summer,880.0,C+,0
399,18020,9901,summer,880.0,B+,0
400,18021,2754,summer,880.0,B+,0
401,18769,6367,fall,920.0,F,0
402,18770,1340,fall,920.0,D+,0
403,18771,5442,fall,920.0,D,0
404,18772,9534,fall,920.0,F,0
405,18773,9057,fall,920.0,D+,0
406,18774,10505,fall,920.0,D,0
407,18775,300,fall,920.0,F,0
408,18776,3894,fall,920.0,B-,0
409,18777,6927,fall,920.0,C-,0
410,18778,6388,fall,920.0,D,0
411,18779,7871,fall,920.0,A,0
412,18780,7341,fall,920.0,F,0
413,18781,4506,fall,920.0,F,0
414,18782,6440,fall,920.0,C-,0
415,18783,3696,fall,920.0,D,0
416,18784,381,fall,920.0,F,0
417,18785,6597,fall,920.0,C+,0
418,18786,2145,fall,920.0,D,0
419,18787,7951,fall,920.0,C,0
420,18788,2448,fall,920.0,C-,0
421,18789,5019,fall,920.0,D,0
422,18790,7199,fall,920.0,F,0
423,18791,524,fall,920.0,D,0
424,18792,3297,fall,920.0,D,0
425,18793,2492,fall,920.0,F,0
426,18794,1639,fall,920.0,C+,0
427,18795,5108,fall,920.0,C,0
428,18796,9376,fall,920.0,C,0
429,18797,8420,fall,920.0,F,0
430,19621,6977,fall,920.0,C-,0
431,19622,5091,fall,920.0,A,0
432,19623,7244,fall,920.0,B+,0
433,19624,9008,fall,920.0,B-,0
434,19625,2546,fall,920.0,B,0
435,19626,9405,fall,920.0,B+,0
436,19627,7845,fall,920.0,A,0
437,19628,3424,fall,920.0,C,0
438,19629,6144,fall,920.0,C,0
439,19630,4260,fall,920.0,A,0
440,19631,2307,fall,920.0,D,0
441,19632,2097,fall,920.0,B,0
442,20058,5176,fall,920.0,C+,0
443,20059,2447,fall,920.0,B-,0
444,20060,2455,fall,920.0,A,0
445,20061,3283,fall,920.0,C,0
446,20829,10031,spring,,C-,0
447,20830,7951,spring,,D,0
448,20831,6026,spring,,D,0
449,20832,9148,spring,,B,0
450,20833,8765,spring,,C-,0
451,20834,7775,spring,,F,0
452,20835,4368,spring,,C+,0
453,20836,3696,spring,,F,0
454,20837,9532,spring,,C-,0
455,20838,4982,spring,,F,0
456,20839,3539,spring,,F,0
457,20840,9274,spring,,C-,0
458,20841,16,spring,,F,0
459,20842,6367,spring,,F,0
460,20843,4785,spring,,C-,0
461,20844,585,spring,,C,0
462,20845,10174,spring,,C,0
463,20846,3894,spring,,F,0
464,20847,6750,spring,,D,0
465,20848,5108,spring,,F,0
466,20849,10412,spring,,F,0
467,20850,5215,spring,,F,0
468,21554,3910,spring,,B,0
469,21555,3366,spring,,B,0
470,21556,1857,spring,,C-,0
471,21557,2748,spring,,C,0
472,21558,4814,spring,,B,0
473,21559,8553,spring,,B-,0
474,21560,43,spring,,D,0
475,21893,2455,spring,,D,0
476,21894,3864,spring,,F,0
477,21895,9585,spring,,D,0
478,21896,2447,spring,,D,0
479,21897,6972,spring,,F,0
480,22098,8045,summer,910.0,C-,0
481,22099,528,summer,910.0,B,0
482,22100,8248,summer,910.0,A-,0
483,22101,5215,summer,910.0,B-,0
484,22115,8697,summer,910.0,B-,0
485,22797,6388,fall,950.0,B-,0
486,22798,2358,fall,950.0,F,0
487,22799,8915,fall,950.0,C,0
488,22800,6319,fall,950.0,C,0
489,22801,10608,fall,950.0,F,0
490,22802,7721,fall,950.0,D,0
491,22803,739,fall,950.0,F,0
492,22804,5047,fall,950.0,D,0
493,22805,3795,fall,950.0,D,0
494,22806,10557,fall,950.0,B-,0
495,22807,10584,fall,950.0,C-,0
496,22808,8133,fall,950.0,C,0
497,22809,9127,fall,950.0,F,0
498,22810,381,fall,950.0,D,0
499,22811,1895,fall,950.0,B,0
500,22812,4372,fall,950.0,D,0
501,22813,298,fall,950.0,A,0
502,22814,10693,fall,950.0,C,0
503,22815,1423,fall,950.0,B-,0
504,22816,7671,fall,950.0,C-,0
505,22817,9969,fall,950.0,B-,0
506,22818,570,fall,950.0,F,0
507,22819,4076,fall,950.0,D,0
508,22820,2240,fall,950.0,D,0
509,22821,8226,fall,950.0,F,0
510,22822,9947,fall,950.0,B-,0
511,22823,7099,fall,950.0,C,0
512,23653,2551,fall,950.0,F,0
513,23654,1321,fall,950.0,B-,0
514,23655,437,fall,950.0,D,0
515,23656,2971,fall,950.0,C+,0
516,23657,9165,fall,950.0,C+,0
517,23658,2125,fall,950.0,D,0
518,23659,9121,fall,950.0,A,0
519,23660,8698,fall,950.0,A-,0
520,23661,9572,fall,950.0,B+,0
521,23662,7132,fall,950.0,C,0
522,23663,5498,fall,950.0,B,0
523,23664,411,fall,950.0,C+,0
524,23665,1954,fall,950.0,B,0
525,24160,1765,fall,950.0,B-,0
526,24161,5394,fall,950.0,F,0
527,24162,9403,fall,950.0,B+,0
528,24163,4903,fall,950.0,C-,0
529,24164,8804,fall,950.0,F,0
530,24165,7609,fall,950.0,F,0
531,24166,8967,fall,950.0,C,0
532,24167,448,fall,950.0,D,0
533,24168,407,fall,950.0,F,0
534,24866,2240,spring,,F,0
535,24867,6388,spring,,D,0
536,24868,1423,spring,,F,0
537,24869,7341,spring,,D,0
538,24870,2145,spring,,D+,0
539,24871,8915,spring,,F,0
540,24872,9969,spring,,D,0
541,24873,10569,spring,,D,0
542,24874,6811,spring,,B+,0
543,24875,347,spring,,C-,0
544,24876,7282,spring,,C,0
545,24877,298,spring,,F,0
546,24878,524,spring,,B-,0
547,24879,766,spring,,C-,0
548,24880,213,spring,,C,0
549,24881,8420,spring,,B+,0
550,24882,882,spring,,B,0
551,24883,10364,spring,,B,0
552,24884,9057,spring,,B-,0
553,24885,2492,spring,,C-,0
554,24886,2456,spring,,D,0
555,24887,6208,spring,,C,0
556,24888,7998,spring,,C-,0
