student_id,term_number,course_name,grade
4930,740,Principles of Macroeconomics,B
697,740,Principles of Macroeconomics,C
5170,740,Principles of Macroeconomics,A
9698,740,Principles of Macroeconomics,B
2781,740,Principles of Macroeconomics,D
7449,740,Principles of Macroeconomics,A
4310,740,Principles of Macroeconomics,A
2754,740,Principles of Macroeconomics,D
9509,740,Principles of Macroeconomics,D
6369,740,Principles of Macroeconomics,C
5851,740,Principles of Macroeconomics,C
5163,740,Principles of Macroeconomics,B
3124,740,Principles of Microeconomics,C
2197,740,Principles of Microeconomics,C
1351,740,Fundamentals of English,C
7469,740,College Writing I,A
2433,740,College Writing I,B
2450,740,College Writing I,B
5472,740,College Writing I,A
6235,740,College Writing I,C
1559,740,College Writing I,B
5170,740,College Writing I,B
9042,740,College Writing I,F
6369,740,College Writing I,B
697,740,College Writing I,C
7849,740,College Writing I,B
8434,740,College Writing I,B
9509,740,College Writing I,F
6454,740,College Writing I,B
6325,740,College Writing I,A
1445,740,College Writing I,A
4717,740,College Writing I,C
542,740,College Writing I,D
5262,740,College Writing I,B
4182,740,College Writing I,A
6301,740,College Writing I,C
5969,740,College Writing I,C
5633,740,College Writing I,C
6727,740,College Writing I,A
6237,740,College Writing I,C
4498,740,College Writing I,A
1836,740,College Writing I,B
160,740,College Writing I,B
8685,740,College Writing I,B
7391,740,College Writing I,F
2552,740,College Writing I,C
128,740,College Writing I,B
1305,740,College Writing I,C
2257,740,College Writing I,B
7763,740,College Writing I,D
891,740,College Writing I,B
1672,740,College Writing I,B
2614,740,College Writing II,A
10577,740,College Writing II,B
2782,740,College Writing II,A
3044,740,College Writing II,A
5953,740,"Race, Gender, and Class",A
7373,740,"Race, Gender, and Class",A
3718,740,The Native American Experience,A
2781,740,The Native American Experience,B
9698,740,Planet Earth,A
1079,740,Planet Earth,A
2197,740,Planet Earth,D
864,740,Survey of Cultural Geography,B
160,740,World Regional Geography,C
4310,740,Elementary German,A
3124,740,Elementary German,B
3124,740,World Civilization I,C
816,740,World Civilization I,F
5822,740,World Civilization I,A
1559,740,World Civilization II,A
1445,740,World Civilization II,A
6301,740,World Civilization II,F
5472,740,World Civilization II,C
2781,740,World Civilization II,C
1358,740,World Civilization II,A
1836,740,History of the United States to 1877,B
4182,740,History of the United States to 1877,C
4990,740,History of the United States since 1877,B
1489,740,History of the United States since 1877,A
1921,740,History of Wisconsin,B
4117,740,Ancient Civilizations,B
8822,740,University/Community Orchestra,A
8822,740,Aural Skills I,A
3823,740,Music Appreciation,A
4001,740,Music Appreciation,A
4117,740,Music Appreciation,A
1358,740,Music Appreciation,B
9540,740,Music Appreciation,A
6237,740,Music Appreciation,D
375,740,Music Appreciation,A
1603,740,Music Appreciation,A
1305,740,Music Appreciation,B
10518,740,Music Appreciation,A
1762,740,Music Appreciation,A
4717,740,Music Appreciation,A
5262,740,Music Appreciation,A
891,740,Music Appreciation,A
1351,740,Music Appreciation,A
1489,740,Music Appreciation,B
8822,740,University Bands,A
5341,740,University Bands,A
6369,740,Choir,A
8822,740,Choir,A
2257,740,Choir,A
8822,740,Music Theory I: Music Theory Fundamentals with MIDI,B
7849,740,Marching Pioneers,A
1762,740,Marching Pioneers,A
9042,740,Marching Pioneers,A
5822,740,Marching Pioneers,A
8822,740,Piano Techniques - Third Semester,C
160,740,World Music Survey,A
6021,740,World Music Survey,B
8822,740,First Semester Lessons,C
8822,740,First Semester Lessons,A
1672,740,Introduction to Philosophy,B
5822,740,Ethics,B
922,740,"Science, Technology, and Ethics",A
9698,740,Fitness Assessment and Management,A
2781,740,Fitness Assessment and Management,B
2754,740,Fitness Assessment and Management,B
816,740,Fitness Assessment and Management,B
6369,740,Fitness Assessment and Management,B
5472,740,Fitness Assessment and Management,B
5953,740,Fitness Assessment and Management,A
9535,740,Fitness Assessment and Management,A
2450,740,Fitness Assessment and Management,A
6454,740,Fitness Assessment and Management,B
7638,740,Fitness Assessment and Management,A
8058,740,Fitness Assessment and Management,A
9878,740,Fitness Assessment and Management,A
5365,740,Fitness Assessment and Management,A
9843,740,Fitness Assessment and Management,A
4717,740,Fitness Assessment and Management,A
9509,740,Fitness Assessment and Management,C
3823,740,Fitness Assessment and Management,C
7568,740,Fitness Assessment and Management,C
6021,740,Fitness Assessment and Management,B
6301,740,Fitness Assessment and Management,B
2552,740,Seasonal Activities,A
7677,740,Weight Training,A
1351,740,Weight Training,A
5262,740,Badminton,A
9540,740,Badminton,A
8434,740,Basketball,A
6369,740,Golf,A
5969,740,Jogging/Walking,A
2433,740,Racquetball,A
9964,740,Racquetball,A
5341,740,Racquetball,A
4498,740,Racquetball,A
1884,740,Personal Conditioning,A
2432,740,Scuba Diving,A
6237,740,Swimming,A
8806,740,Swimming,A
8318,740,Volleyball,A
6239,740,Volleyball,A
9042,740,Volleyball,A
5969,740,Volleyball,A
7638,740,Introduction to Politics,B
1351,740,Introduction to Politics,C
305,740,Introduction to Politics,B
8724,740,Introduction to American Government,B
891,740,General Psychology,A
5947,740,General Psychology,B
5780,740,General Psychology,A
7763,740,General Psychology,C
5633,740,General Psychology,D
816,740,General Psychology,F
8685,740,General Psychology,B
1305,740,General Psychology,B
2782,740,General Psychology,C
5822,740,Introduction to Sociology,B
1836,740,Introduction to Anthropology,B
2552,740,Introduction to Anthropology,C
542,740,Intermediate Spanish,B
849,740,Oral Communication for Professionals,B
5262,740,Oral Communication for Professionals,A
2432,740,Oral Communication for Professionals,F
128,740,Oral Communication for Professionals,B
4117,740,Oral Communication for Professionals,A
2782,740,Oral Communication for Professionals,B
1559,740,Oral Communication for Professionals,B
7469,740,Oral Communication for Professionals,B
697,740,Oral Communication for Professionals,C
9698,740,Oral Communication for Professionals,B
1358,740,Oral Communication for Professionals,C
5163,740,Oral Communication for Professionals,A
5969,740,Oral Communication for Professionals,C
9843,740,Oral Communication for Professionals,A
6325,740,Oral Communication for Professionals,A
1351,740,Oral Communication for Professionals,A
1665,740,Communication & Leadership in Small Groups,B
8724,740,Introduction to the Theatre,B
7373,740,Introduction to the Theatre,D
8806,740,Introduction to the Theatre,C
7568,740,Introduction to the Theatre,F
1553,750,Financial Accounting,C
2425,750,Financial Accounting,B
6477,750,Financial Accounting,B
8136,750,Financial Accounting,D
9792,750,Financial Accounting,B
1596,750,Financial Accounting,C
8670,750,Financial Accounting,C
1978,750,Financial Accounting,A
6870,750,Financial Accounting,C
8631,750,Management Accounting,C
9839,750,Management Accounting,B
9277,750,Management Accounting,C
8134,750,Management Accounting,F
10469,750,Management Accounting,B
8163,750,Management Accounting,C
5887,750,Management Accounting,A
10310,750,Management Accounting,C
9263,750,Management Accounting,B
7792,750,Management Accounting,C
1653,750,Management Accounting,A
5694,750,Accounting Issues for Managers,C
10373,750,Intermediate Accounting II,D
10373,750,Advanced Taxation,A
10373,750,Advanced Cost Accounting,A
5887,750,Agricultural Marketing,A
2969,750,BioQuest: Foundations for College Success,F
5887,750,Concepts of Biology,A
6382,750,Concepts of Biology,C
4043,750,Concepts of Biology,B
7586,750,Concepts of Biology,C
992,750,Concepts of Biology,C
10233,750,Concepts of Biology,B
6955,750,Concepts of Biology,A
9160,750,General Botany,C
2969,750,The Unity of Life,F
5106,750,Global Business,B
6456,750,Global Business,B
8136,750,Global Business,B
5613,750,Global Business,C
2781,750,Global Business,B
6477,750,Global Business,B
1596,750,Global Business,C
10419,750,Global Business,B
7744,750,Global Business,D
5257,750,Global Business,F
7437,750,Global Business,C
10654,750,Global Business,F
4796,750,Global Business,F
8163,750,Global Business,B
1114,750,Leadership and Management,C
6382,750,Leadership and Management,C
2746,750,Leadership and Management,A
1740,750,Leadership and Management,B
8502,750,Leadership and Management,C
891,750,Leadership and Management,B
9411,750,Leadership and Management,B
5694,750,Leadership and Management,A
6870,750,Leadership and Management,B
6117,750,Leadership and Management,B
4117,750,Leadership and Management,B
7778,750,Leadership and Management,A
2197,750,Leadership and Management,B
6395,750,Leadership and Management,C
3061,750,Leadership and Management,D
6197,750,Leadership and Management,B
10310,750,Leadership and Management,A
3461,750,Leadership and Management,B
6455,750,Leadership and Management,B
909,750,Leadership and Management,A
3714,750,Leadership and Management,A
8670,750,Leadership and Management,C
2781,750,Leadership and Management,B
1075,750,Leadership and Management,B
9263,750,Leadership and Management,B
5190,750,Leadership and Management,B
8631,750,Introduction to Marketing,B
4074,750,Introduction to Marketing,B
3421,750,Introduction to Marketing,B
9277,750,Introduction to Marketing,B
1740,750,Introduction to Marketing,C
1596,750,Introduction to Marketing,D
4629,750,Introduction to Marketing,D
8670,750,Introduction to Marketing,D
10209,750,Introduction to Marketing,A
4278,750,Introduction to Marketing,D
992,750,Human Resource Management,B
4074,750,Human Resource Management,A
1874,750,Human Resource Management,B
9839,750,Human Resource Management,B
3421,750,Human Resource Management,A
9160,750,Human Resource Management,A
331,750,Human Resource Management,B
944,750,Human Resource Management,B
10472,750,Human Resource Management,A
10469,750,The Legal Environment of Business,B
4074,750,The Legal Environment of Business,B
1015,750,The Legal Environment of Business,A
331,750,The Legal Environment of Business,C
8091,750,The Legal Environment of Business,C
10373,750,The Legal Environment of Business,B
1553,750,"Management, Gender & Race",B
1015,750,Corporate Finance,A
4727,750,Corporate Finance,C
10233,750,Corporate Finance,B
1653,750,Corporate Finance,B
1087,750,Corporate Finance,C
5411,750,Operations Management,A
10255,750,Operations Management,B
10209,750,Operations Management,A
10233,750,Operations Management,A
1653,750,Operations Management,A
